,title,link,channel,views,time_published,snippet,verified_badge,extensions
146,Facing COVID-19 Challenges: Wear a Mask,https://www.youtube.com/watch?v=lASjM_ZcWGM,"{'channel_name': 'Ansys', 'channel_link': 'https://www.youtube.com/user/ansysinc'}",3.4K views,2 years ago,Masks can reduce the risk of contaminating others by up to 6 times. Adjustments can be made to ensure masks are sealed ...,,
147,Study: Wearing a used mask could be worse than no mask,https://www.youtube.com/watch?v=N2f9vuvFEvE,"{'channel_name': 'TRT World Now', 'channel_link': 'https://www.youtube.com/c/TRTWorldNow'}",273 views,1 year ago,A new study has found that wearing a used mask could be more dangerous than not wearing one when it comes to protection ...,,
148,WATCH LIVE: Supreme Court hears arguments on COVID-19 vaccine mandates and testing policies,https://www.youtube.com/watch?v=D5fSVWklG6c,"{'channel_name': 'PBS NewsHour', 'channel_link': 'https://www.youtube.com/c/PBSNewsHour'}",130K views,Streamed 4 months ago,,True,CC
149,How to wear a face mask without your eyeglasses fogging up l GMA Digital,https://www.youtube.com/shorts/JtKww3Jj_Rc,"{'channel_name': 'Good Morning America', 'channel_link': 'https://www.youtube.com/c/GMA'}",385K views,2 years ago,,True,
150,Fighting the Plague with @Bill Gates,https://www.youtube.com/watch?v=CBSmmzFshA4,"{'channel_name': 'How To Make Everything', 'channel_link': 'https://www.youtube.com/c/MakeEverythingTv'}",38K views,3 days ago,,True,New
151,Texas teacher seen on video assaulting student,https://www.youtube.com/watch?v=bwzYq-jDTw4,"{'channel_name': 'KHOU 11', 'channel_link': 'https://www.youtube.com/c/KHOU'}",1.1M views,2 years ago,Tiffani Lankford is facing charges.,True,CC
152,Summer 2022 trends that I'm totally loving right now! ✨✨✨✨,https://www.youtube.com/watch?v=hjrnbk39fvY,"{'channel_name': ""YO' HOMEGIRL"", 'channel_link': 'https://www.youtube.com/c/YOHOMEGIRL'}",7.6K views,3 days ago,,True,New
153,How Effective Against Coronavirus Are Face Shields Compared To Masks? | TODAY,https://www.youtube.com/watch?v=7F3R8_YHO8o,"{'channel_name': 'TODAY', 'channel_link': 'https://www.youtube.com/c/TODAY'}",435K views,1 year ago,"As summer temperatures soar, face shields present a tempting alternative to masks to prevent the spread of coronavirus, and they ...",True,CC
154,'I’m not a cat': lawyer gets stuck on Zoom kitten filter during court case,https://www.youtube.com/watch?v=lGOofzZOyl8,"{'channel_name': 'Guardian News', 'channel_link': 'https://www.youtube.com/c/guardianwires'}",13M views,1 year ago,"A lawyer showed up to virtual court in the 394th district of Texas with a kitten filter turned on, the cat moving its lips and eyes, as ...",True,
155,15 Painful Makeup Prosthetics Actors Were Forced To Wear,https://www.youtube.com/watch?v=0VVGTV5zOVQ,"{'channel_name': 'TheThings', 'channel_link': 'https://www.youtube.com/c/TheThings'}",9.4M views,1 year ago,,True,
156,Wearing a Glove of Venomous Ants | National Geographic,https://www.youtube.com/watch?v=XEWmynRcEEQ,"{'channel_name': 'National Geographic', 'channel_link': 'https://www.youtube.com/c/NatGeo'}",4.5M views,11 years ago,"About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure.",True,
157,LIVE: President Biden Press Conference | JEFF DUNHAM,https://www.youtube.com/watch?v=cKoMHJ0IzK0,"{'channel_name': 'Jeff Dunham', 'channel_link': 'https://www.youtube.com/user/jeffdunham'}",6.3M views,8 months ago,"Pickled press man, Bubba J and a disguised and disgruntled Wonald Grump have questions for the Biden Administration!",True,CC
158,Officers remove non mask-wearing passenger from flight l GMA,https://www.youtube.com/watch?v=AhsypHzQZjM,"{'channel_name': 'Good Morning America', 'channel_link': 'https://www.youtube.com/c/GMA'}",461K views,1 year ago,Police officers removed the passenger on a Frontier Airlines flight from Los Angeles to Denver as new mandatory requirements hit ...,True,
159,How to Put On a Surgical Mask the RIGHT Way,https://www.youtube.com/watch?v=9VbojLOQe94,"{'channel_name': 'NurseMinder', 'channel_link': 'https://www.youtube.com/c/NurseMinder'}",680K views,3 years ago,,,CC
160,How to fit your ResMed CPAP full face mask,https://www.youtube.com/watch?v=oBgbnBEBKhc,"{'channel_name': 'ResMed', 'channel_link': 'https://www.youtube.com/user/ResMedAmericas'}",129K views,7 years ago,,,CC
161,What does the Quran really say about a Muslim woman's hijab? | Samina Ali | TEDxUniversityofNevada,https://www.youtube.com/watch?v=_J5bDhMP9lQ,"{'channel_name': 'TEDx Talks', 'channel_link': 'https://www.youtube.com/user/TEDxTalks'}",8M views,5 years ago,"In recent times, the resurgence of the hijab along with various countries' enforcement of it has led many to believe that Muslim ...",True,4K
162,The Real Reason Why Protective Styles Aren’t Growing Your Hair,https://www.youtube.com/watch?v=prk3NpC6yqI,"{'channel_name': 'Seun Okimi', 'channel_link': 'https://www.youtube.com/c/SeunOkimi'}",3.2M views,1 year ago,✉️ info@seunokimi.com.,True,
163,Are You Wearing Your Swim Goggles Wrong? | Swimming Goggle Problems,https://www.youtube.com/watch?v=2zR1AdW1aiY,"{'channel_name': 'Global Triathlon Network', 'channel_link': 'https://www.youtube.com/c/gtn'}",106K views,2 years ago,,True,CC
164,Things Only Adults Notice In Sonic,https://www.youtube.com/watch?v=NEicZ5cuYQU,"{'channel_name': 'SVG', 'channel_link': 'https://www.youtube.com/c/SVGdotcom'}",948K views,3 years ago,,True,CC
165,Guy With No Masks Thinks He's Right,https://www.youtube.com/shorts/RLmhXsX9Lsc,"{'channel_name': 'HUMILIATED - SHORTS', 'channel_link': 'https://www.youtube.com/channel/UCkeoGp8Mx4Wzl_45OaVA0Mw'}",50K views,8 days ago,"Subscribe to my channel. #shorts This content doesn't belong to Humiliated- Shorts, it is edited and shared only for the purpose of ...",,
166,Pawn Stars: 5 SUPER RARE ILLEGAL ITEMS | History,https://www.youtube.com/watch?v=SzuZnh91U8E,"{'channel_name': 'Pawn Stars', 'channel_link': 'https://www.youtube.com/c/PawnStars'}",38M views,1 year ago,,True,
167,Michael Wears a Woman's Suit - The Office US,https://www.youtube.com/watch?v=B9MNITrHu9E,"{'channel_name': 'The Office', 'channel_link': 'https://www.youtube.com/c/TheOfficeUS'}",5.1M views,1 year ago,"Michael doesn't realise that his suit he found in the bargain bin is actually designed for women. Season 3, Episode 19 ""The ...",True,
168,I Did My Makeup Horribly To See How My Friends Would React *Prank*,https://www.youtube.com/watch?v=7jKze614bT0,"{'channel_name': 'James Charles', 'channel_link': 'https://www.youtube.com/c/JamesCharles'}",22M views,1 year ago,"HI SISTERS! In today's video, I decided to prank my friends to see how honest they are. I did my makeup as BADLY as I possibly ...",True,
169,Family says they were kicked off flight to NYC because baby wasn't wearing mask,https://www.youtube.com/watch?v=3TvpKWiiB8M,"{'channel_name': 'Eyewitness News ABC7NY', 'channel_link': 'https://www.youtube.com/c/abc7NY'}",36K views,1 year ago,"A family says they were kicked off a flight simply because their 18-month-old baby was not wearing a mask, but the airline says ...",True,CC
170,10 Things The Kid LAROI Can't Live Without | GQ,https://www.youtube.com/watch?v=TZO-jqy1IBg,"{'channel_name': 'GQ', 'channel_link': 'https://www.youtube.com/c/GQ'}",2.7M views,11 months ago,,True,CC
171,Why it is necessary to wear the mask? FLOW-3D simulation comparison,https://www.youtube.com/watch?v=eMFVfQxDIuc,"{'channel_name': 'XC Engineering srl', 'channel_link': 'https://www.youtube.com/c/Xcengineering'}",812 views,1 year ago,,,
172,"REACTION TO CNN ""Expert"" Dr Leana Wen Saying Wearing Cloth Masks are USELESS for Omicron",https://www.youtube.com/watch?v=wH-iUasUKeM,"{'channel_name': ""JonClem310's Clown Pill Media"", 'channel_link': 'https://www.youtube.com/c/ClemMedia'}",1.4K views,Streamed 4 months ago,Looks like CNN is pivoting away from Cloth masks. After telling their paranoid audience that not wearing a mask made you a bad ...,,
173,Body camera footage shows 2020 incident where woman with autism confronted by police,https://www.youtube.com/watch?v=5wGac1WZREo,"{'channel_name': '11Alive', 'channel_link': 'https://www.youtube.com/c/11Alive'}",855K views,7 months ago,How police officers handle an escalating situation caused by a mental health crisis can make a big difference in the outcome.,True,
174,VERIFY: Are cloth masks 'useless' against the omicron variant?,https://www.youtube.com/watch?v=IM4-lZmL_lA,"{'channel_name': '13News Now', 'channel_link': 'https://www.youtube.com/c/WVECTelevisionInc'}",7.6K views,4 months ago,"We're still learning more about the omicron variant of COVID-19. Here's what we do know: it's highly contagious, so you may be ...",True,
175,The Interview That Ruined Katherine Heigl's Career Overnight,https://www.youtube.com/watch?v=iFQFGOY3RQ0,"{'channel_name': 'Nicki Swift', 'channel_link': 'https://www.youtube.com/c/NickiSwift'}",6M views,2 years ago,There some rules you never break in Hollywood. One of them is to not talk thrash about an employer or co-star just after you've ...,True,CC
176,Hair Washing Hacks That Will Save Your Hair,https://www.youtube.com/watch?v=Nchrj-dzVgs,"{'channel_name': 'Brad Mondo', 'channel_link': 'https://www.youtube.com/c/BradMondo'}",11M views,2 years ago,,True,
177,Why I Haven’t Been Uploading,https://www.youtube.com/watch?v=TDiXxsQ0w2Q,"{'channel_name': 'MrBeast', 'channel_link': 'https://www.youtube.com/c/MrBeast6000'}",34M views,1 year ago,,True,
178,A Football Player's Buried Earring Emergency,https://www.youtube.com/watch?v=rrO2GrWSsY4,"{'channel_name': 'Larry Mellick', 'channel_link': 'https://www.youtube.com/user/lmellick'}",3.2M views,8 months ago,In this video a high school football player presented to the emergency department with an earring embedded in his ear lobe.,,
179,Whoopi Goldberg suspended from 'The View' after Holocaust comments l GMA,https://www.youtube.com/watch?v=QF4xotY3BZ8,"{'channel_name': 'Good Morning America', 'channel_link': 'https://www.youtube.com/c/GMA'}",1.1M views,3 months ago,#GMA #WhoopiGoldberg #TheView #Holocaust #Maus.,True,
180,"Game Theory: FNAF, We were WRONG about the Bite (Five Nights at Freddy's)",https://www.youtube.com/watch?v=leTOy75OD5w,"{'channel_name': 'The Game Theorists', 'channel_link': 'https://www.youtube.com/c/GameTheorists'}",17M views,5 years ago,"All this time, I've been doing lore-based theories on FNAF, trying to piece together clues about the Purple Guy, the missing ...",True,CC
181,12 TEACHERS YOU'LL NEVER WANT TO MEET,https://www.youtube.com/watch?v=ro2uBJeNY7Y,"{'channel_name': 'JianHao Tan', 'channel_link': 'https://www.youtube.com/jianhao'}",29M views,3 years ago,"EMAIL: For business enquiries, contact business@thejianhaotan.com directly FOLLOW ME ON INSTAGRAM: ...",True,4K
182,"I tested negative for COVID-19, why wear a mask?",https://www.youtube.com/watch?v=pXISknJ53EI,"{'channel_name': 'UW Health', 'channel_link': 'https://www.youtube.com/c/uwhealth'}",1.8K views,1 year ago,,,CC
183,COVID-19: Is it safe to wear a mask around the chin when not using it?,https://www.youtube.com/watch?v=U6Hi00CM77I,"{'channel_name': 'CBC News: The National', 'channel_link': 'https://www.youtube.com/c/CBCTheNational'}",17K views,1 year ago,An infectious disease physician answers viewer questions about the COVID-19 pandemic including whether it's safe to pull a ...,True,CC
184,How To Use Tampons | Everything you Need To Know To Survive Your Period!,https://www.youtube.com/watch?v=6UykBMEEtRw,"{'channel_name': 'Glamrs', 'channel_link': 'https://www.youtube.com/c/GLAMRSTV'}",2.4M views,2 years ago,,True,CC
185,I CUT OFF MY OWN WEDDING RING WITH A DREMEL,https://www.youtube.com/watch?v=hlMZgHHXJBg,"{'channel_name': 'HandyDadTV', 'channel_link': 'https://www.youtube.com/c/handydadtv'}",16M views,2 years ago,What do you do when you have a stuck ring on your finger? I jammed my ring finger and it swelled so badly that I couldn't get it off.,True,4K
186,Musicians Warning Fans About the Music Industry,https://www.youtube.com/watch?v=cI1ZbBwEA-c,"{'channel_name': 'Loudwire', 'channel_link': 'https://www.youtube.com/c/LoudwireMusic'}",2.4M views,8 months ago,,True,
187,Woman’s 20-Year-Old Cyst Finally Gets Popped,https://www.youtube.com/watch?v=vrum7lC6O5g,"{'channel_name': 'The Doctors', 'channel_link': 'https://www.youtube.com/c/TheDoctors'}",43M views,6 years ago,"Watch as dermatologist Dr. Sandra Lee removes a large, 20-year-old cyst from one woman's scalp. About The Doctors: The ...",True,
188,Where is My Nose? No No Safety Tips & More Nursery Rhymes Songs by Little Angel,https://www.youtube.com/watch?v=o-xbGlw-crI,"{'channel_name': 'Little Angel: Nursery Rhymes & Kids Songs', 'channel_link': 'https://www.youtube.com/c/LittleAngelVideo'}",132M views,4 years ago,Chase has Lost his Nose and his friends come to the Rescue. Give us a and let us know what your favourite song is!,True,
189,There Is A Real Man Disguised Under The Mask | Unmasking by MoliFX,https://www.youtube.com/watch?v=iP1JHGzJjRE,"{'channel_name': ""InTheMask by Moli's"", 'channel_link': 'https://www.youtube.com/c/InTheMaskbyMolis'}",25K views,1 month ago,"Masks by CreaFX & MoliFX. For more information about us, check on our official site: Inthemask.com.",,
190,Cloth Masks Are Useless Against COVID-19,https://www.youtube.com/watch?v=9cRuA9EizBM,"{'channel_name': 'Infection Control Today', 'channel_link': 'https://www.youtube.com/channel/UCk6bpQrwQ0MtasyjbsH54_w'}",27K views,2 years ago,"The idea that cloth masks will protect anybody from contracting COVID-19 is magical thinking, Lisa Brousseau, ScD, expert on ...",,
191,10 SUIT MISTAKES MEN MAKE And How To Fix Them | Alex Costa,https://www.youtube.com/watch?v=8NryVv-z9WM,"{'channel_name': 'Alex Costa', 'channel_link': 'https://www.youtube.com/c/AlexCosta'}",4M views,3 years ago,,True,
192,Wrong Turn 4: Bloody Beginnings (2011) KILL COUNT,https://www.youtube.com/watch?v=GV4lGlLVhiM,"{'channel_name': 'Dead Meat', 'channel_link': 'https://www.youtube.com/c/DeadMeat'}",2.6M views,1 year ago,Kill Graphics and Numbers Icons made by Made In Graphics Team: Clara and Allie Dead Meat Podcast (Now back from hiatus!) ...,True,CC
193,Aphmau Was NEVER BORN In Minecraft!,https://www.youtube.com/watch?v=FALv3845hw8,"{'channel_name': 'Aphmau', 'channel_link': 'https://www.youtube.com/AphmauGaming'}",5.7M views,4 months ago,#Minecraft #Aphmau.,True,
194,Wear a mask! (Angry Rant),https://www.youtube.com/watch?v=FfrAGXNg8oU,"{'channel_name': 'Drift0r', 'channel_link': 'https://www.youtube.com/user/Drift0r'}",89K views,1 year ago,Twitch: https://twitch.tv/drift0r Today's video is something different for me. It is an angry rant about why people should be wearing ...,True,
195,Student who was mocked over masks has a response for his hecklers,https://www.youtube.com/watch?v=drm3relv6mU,"{'channel_name': 'CNN', 'channel_link': 'https://www.youtube.com/user/CNN'}",663K views,8 months ago,,True,CC
196,25 HELPFUL BEAUTY HACKS WITH EVERYDAY ITEMS,https://www.youtube.com/watch?v=BGVyE3adNlE,"{'channel_name': '5-Minute Crafts', 'channel_link': 'https://www.youtube.com/c/5MinuteCraftsYouTube'}",19M views,3 years ago,,True,
197,Roma and Diana play with dad on the beach,https://www.youtube.com/watch?v=nRwSc1aIQtA,"{'channel_name': '★ Kids Roma Show', 'channel_link': 'https://www.youtube.com/c/KidsRomaShow'}",81M views,1 year ago,Roma and Diana play with dad on the beach. Kids had a Fun Adventures on the Beach! Roma and Diana playing with Sand and ...,True,
198,Why Were The Nazis So Stylish? // Secret History Revealed,https://www.youtube.com/watch?v=60FM9WjkXtA,"{'channel_name': 'Real Men Real Style', 'channel_link': 'https://www.youtube.com/c/Realmenrealstyle'}",5.5M views,9 months ago,,True,4K
199,COVID-19: The right way to wear a face mask,https://www.youtube.com/watch?v=PG-xFTktkNw,"{'channel_name': 'Gulf News', 'channel_link': 'https://www.youtube.com/c/GulfNewsTV'}",42K views,2 years ago,,True,
200,WARNING!!! Before you EPOXY or RESIN ANYTHING!!!,https://www.youtube.com/watch?v=U17lOymGxoM,"{'channel_name': 'AuntieTay', 'channel_link': 'https://www.youtube.com/c/AuntieTay'}",1.9M views,2 years ago,"FEEL FREE TO SHARE THIS VIDEO IF YOU HAVE EXPERIENCED ANYTHING, WE NEED THIS TO PROTECT NOT JUST US, ...",,
201,20 Celebrities Who Look Totally Different Underneath Makeup,https://www.youtube.com/watch?v=hxmv-M3TzW0,"{'channel_name': 'TheThings Celebrity', 'channel_link': 'https://www.youtube.com/c/TheTalko'}",1.1M views,1 year ago,"There's a new celebrity beauty trend! It's not some new lip stain or lashes extension, it's going makeup-free or doing no makeup ...",True,
202,San Diego Sheriff's Department releases video of the fatal shooting in Little Italy,https://www.youtube.com/watch?v=Rs5MJ3_mk0Y,"{'channel_name': 'KPBS Public Media', 'channel_link': 'https://www.youtube.com/c/KPBSOrgSanDiego'}",43K views,2 months ago,"WARNING: This video may contain strong language as well as images that could be disturbing for some individuals.** Yan Li, 47 ...",,
203,Kevin Gates - Right Game Wrong N**** [Official Audio],https://www.youtube.com/watch?v=L1xSsM0fyi8,"{'channel_name': 'kevingatesTV', 'channel_link': 'https://www.youtube.com/channel/UCj2GTFekdV3EUsTVN8oaEqA'}",16M views,3 years ago,The official YouTube channel of Kevin Gates. Bread Winners' Association/Atlantic Records artist Kevin Gates is a hip-hop music ...,True,
204,New studies suggest some face coverings are ineffective in preventing coronavirus infections,https://www.youtube.com/watch?v=JsXeKWBgbKM,"{'channel_name': 'CBS Evening News', 'channel_link': 'https://www.youtube.com/user/CBSEveningNews'}",503K views,1 year ago,There is growing evidence that not all masks or face coverings provide protection against the coronavirus. Kris Van Cleave ...,True,
205,What You Get Wrong About Smart Materials in Substance Painter,https://www.youtube.com/watch?v=xppOU2y10Cs,"{'channel_name': 'FlippedNormals', 'channel_link': 'https://www.youtube.com/c/FlippedNormals'}",169K views,3 years ago,,True,
206,Wearing The World's TALLEST Heels For 24 Hours!,https://www.youtube.com/watch?v=HPTelJBWLrE,"{'channel_name': 'James Charles', 'channel_link': 'https://www.youtube.com/c/JamesCharles'}",3.5M views,6 months ago,"Hi Sisters! In today's video, I challenged myself to wear the world's tallest high heels for 24 hours straight! Do you think I made it ...",True,
207,Herman the Worm - Popular Nursery Rhymes Playlist for Children - by The Learning Station,https://www.youtube.com/watch?v=raMEQzGVY3w,"{'channel_name': 'TheLearningStation - Kids Songs and Nursery Rhymes', 'channel_link': 'https://www.youtube.com/c/Learningstationmusic'}",33M views,6 years ago,,True,
208,Red Shoes + 12 Dancing Princesses | Fairy Tales and Bedtime Stories for Kids in English,https://www.youtube.com/watch?v=BGU87FzpVWg,"{'channel_name': 'Fairy Tales and Stories for Kids', 'channel_link': 'https://www.youtube.com/c/FairyStoriesandSongsforKids'}",28M views,11 months ago,"In this fairy tale, you can find out the mystery of the red shoes that little girl Karen loves but her mother doesn't want her to wear, ...",True,
209,Tattoos That Didn’t Heal Well 😬 Ink Master,https://www.youtube.com/watch?v=6d0caGV1eTg,"{'channel_name': 'Ink Master', 'channel_link': 'https://www.youtube.com/c/inkmasterofficial'}",9.2M views,1 year ago,,True,CC
210,Unmasking the COVID-19 Face Covering Options,https://www.youtube.com/watch?v=O3HxTw06XB8,"{'channel_name': 'THORS eLearning Solutions', 'channel_link': 'https://www.youtube.com/c/ThorsElearningSolutions'}",2.1K views,2 years ago,,,
211,Why You Shouldn't Buy 'Techwear Clothing',https://www.youtube.com/watch?v=qJHnABL005k,"{'channel_name': 'This Is Antwon', 'channel_link': 'https://www.youtube.com/c/ThisIsAntwon'}",647K views,2 years ago,"brb deleting channel Let's talk about how obsessing over what is/isn't 'techwear clothing' or a 'techwear outfit' can be a bad thing, ...",,
212,TOP 60 Easter Eggs In Pixar's TURNING RED!,https://www.youtube.com/watch?v=oye7JO-uiHA,"{'channel_name': 'Flicks And The City', 'channel_link': 'https://www.youtube.com/c/FlicksAndTheCity'}",4.4M views,2 months ago,,True,CC
213,Q & A - with Tom Vasel - May 9,https://www.youtube.com/watch?v=0wY2uP5Nm-M,"{'channel_name': 'The Dice Tower', 'channel_link': 'https://www.youtube.com/user/thedicetower'}",5.1K views,Streamed 7 days ago,You've got questions! Tom has answers! It's meant to be! We're giving away a $10 gift certificate to Game Nerdz. This giveaway is ...,,
214,The Reason You Almost Never See Kakashi's Face In Naruto,https://www.youtube.com/watch?v=tMkURmaHKgs,"{'channel_name': 'Looper', 'channel_link': 'https://www.youtube.com/c/looper'}",196K views,2 years ago,"There's probably no one else fans love more than Kakashi Hakate in Naruto. The mysterious character, with his iconic balaclava ...",True,CC
215,Spoon Is Used To Remove Man's Cyst! | Dr. Pimple Popper,https://www.youtube.com/watch?v=30yDQNu04K4,"{'channel_name': 'tlc uk', 'channel_link': 'https://www.youtube.com/c/TLCTVUK'}",18M views,1 year ago,Dr. Lee faces a big challenge that will require her to use an unorthodox tool: a kitchen spoon! How will the procedure turn out?,True,
216,12 THINGS YOUR BODY SAYS ABOUT YOU,https://www.youtube.com/watch?v=4HfQeENfSxg,"{'channel_name': '5-Minute Crafts', 'channel_link': 'https://www.youtube.com/c/5MinuteCraftsYouTube'}",11M views,4 years ago,,True,
217,Kevin Hart Illuminati Exposed? Said He'd Never Wear A Dress For A Role But...,https://www.youtube.com/watch?v=NMYgMasTjhw,"{'channel_name': 'BlackTree TV', 'channel_link': 'https://www.youtube.com/c/blacktreemedia'}",3.1M views,9 years ago,"A Blacktree is at all the hottest events on the planet (award shows, movie premieres and press junkets, fashion shows, etc.)",True,
218,Parents allow child to make life or death decision,https://www.youtube.com/watch?v=LIbwYaOcGxg,"{'channel_name': 'CNN', 'channel_link': 'https://www.youtube.com/user/CNN'}",25M views,6 years ago,"Is a five-year-old old enough to choose heaven over the hospital? CNN's Elizabeth Cohen has more. Love, not pity, was ...",True,CC
219,WEIRDEST Bans In NBA History..,https://www.youtube.com/watch?v=PtF4U2RBLH0,"{'channel_name': 'REBOUND', 'channel_link': 'https://www.youtube.com/c/ReboundCentral'}",5.5M views,1 year ago,,True,
220,Black teen speaks out after woman charged with attacking him at pool,https://www.youtube.com/watch?v=QvxuNH_Hr6s,"{'channel_name': 'CBS Mornings', 'channel_link': 'https://www.youtube.com/c/CBSMornings'}",13M views,3 years ago,A South Carolina woman is facing assault and battery charges after being accused of hitting a black teenager at a community pool ...,True,
221,How to Wear a Bandana | 7 Ways | Parker York Smith,https://www.youtube.com/watch?v=R4N2wBXSIlE,"{'channel_name': 'Parker York Smith', 'channel_link': 'https://www.youtube.com/c/ParkerYorkSmith'}",504K views,1 year ago,,True,
222,Cloth masks don't cut it against omicron,https://www.youtube.com/watch?v=5RTTRFsa1ZI,"{'channel_name': 'WTKR News 3', 'channel_link': 'https://www.youtube.com/c/WTKR3'}",170 views,4 months ago,Cloth masks don't cut it against omicron.,True,CC
223,Two candidates who refused to wear masks likely to be disqualified from high school entrance exam,https://www.youtube.com/watch?v=HuHzxnKPkos,"{'channel_name': '民視英語新聞 Formosa TV English News', 'channel_link': 'https://www.youtube.com/c/FTVEnglishNews'}",1.7K views,1 year ago,"Sunday marked the second day of the nationwide senior high school entrance exams. Due to the coronavirus pandemic, ...",,
224,Avoid Cross-Contamination - Masks,https://www.youtube.com/watch?v=vbjFXUoJKpI,"{'channel_name': 'Riverside County Fire', 'channel_link': 'https://www.youtube.com/c/RiversideCountyFire'}",767 views,2 years ago,The public is now required to wear masks when outside of the home. Here are some tips to avoid cross-contamination to keep you ...,,
225,Mask Nerd Short - Counterfeit Masks?,https://www.youtube.com/watch?v=_LOyzaKYIpc,"{'channel_name': 'Aaron Collins', 'channel_link': 'https://www.youtube.com/user/coll0412'}",12K views,3 months ago,"How can you tell your mask is fake or low performing? It is very difficult without specialty equipment, so I explain what you can do.",,
226,Latin Ice Cream Man Jorge Pena Insults ANGRY Demi Lovato! | X Factor Global,https://www.youtube.com/watch?v=TdjBiNPT-bQ,"{'channel_name': 'X Factor Global', 'channel_link': 'https://www.youtube.com/user/xfactorglobal'}",11M views,4 years ago,Latin Ice Cream Man Jorge Pena Insults ANGRY Demi Lovato! #AWKWARD X Factor Global brings together the very best acts ...,True,CC
227,#JWC Medical masks are a tool that can be used to prevent the spread of respiratory infection.,https://www.youtube.com/watch?v=H5wF3lUK-6g,"{'channel_name': 'JWC Machinery', 'channel_link': 'https://www.youtube.com/channel/UCr2B3IRiSLquc-kU0NRC7eA'}",4 views,3 days ago,Medical masks are a type of personal protective equipment used to prevent the spread of respiratory infections. These masks ...,,New
228,Zendaya Enjoyed Tom Holland Farting On Her Legs,https://www.youtube.com/shorts/nzbb48D2jWE,"{'channel_name': 'FilMonger', 'channel_link': 'https://www.youtube.com/c/FilMonger'}",7.6M views,3 months ago,Do you ship Tom Holland and Zendaya? Let us know in the comments section down below. Please Show Your Love by Sharing ...,True,4K
229,3 mask annoyances and how to fix them,https://www.youtube.com/watch?v=Gh4i5uQDK84,"{'channel_name': 'Washington Post', 'channel_link': 'https://www.youtube.com/c/WashingtonPost'}",9.5K views,1 year ago,"Daily mask wear comes with a slew of irritations and annoyances. Here are solutions for mask acne, ear pain and fogged up ...",True,CC
230,"VERIFY: Are cloth masks ""useless"" against COVID's Omicron variant?",https://www.youtube.com/watch?v=bXZulDt8duU,"{'channel_name': 'WFAA', 'channel_link': 'https://www.youtube.com/c/Wfaa8'}",2.1K views,4 months ago,,True,
231,10 Teenage Mutant Ninja Turtle Moments That Are Not For Kids,https://www.youtube.com/watch?v=6rTxv-Z8G4k,"{'channel_name': 'Screen Rant', 'channel_link': 'https://www.youtube.com/c/ScreenRant'}",1.7M views,3 years ago,,True,
232,What REALLY HAPPENS WHEN YOU SPILL WATER in an OUTLET?,https://www.youtube.com/watch?v=1tfvtJyucHc,"{'channel_name': 'Silver Cymbal', 'channel_link': 'https://www.youtube.com/c/SilverCymbal'}",3.3M views,1 year ago,What happens when you get water in an electric outlet without gfci? YOU WILL NOT BELIEVE WHAT YOU SEE. Can you run ...,True,4K
233,World Record Exercise Ball Surfing | OT 6,https://www.youtube.com/watch?v=i25i6vyjIpg,"{'channel_name': 'Dude Perfect', 'channel_link': 'https://www.youtube.com/c/DudePerfect'}",69M views,3 years ago,,True,4K
234,"Customizing $13 Walmart Shoes, then Returning them…",https://www.youtube.com/watch?v=cbbclIgwyfs,"{'channel_name': 'MARKO', 'channel_link': 'https://www.youtube.com/c/MatTVOriginal'}",1.6M views,9 months ago,Thanks for watching subscribe bbg ily❤️❤️ Instagram: https://www.instagram.com/markoterzo/... Snapchat: ...,True,4K
235,The Mississippi Mass Choir - When I Rose This Morning,https://www.youtube.com/watch?v=AXTk46IfDTg,"{'channel_name': 'malacomg', 'channel_link': 'https://www.youtube.com/user/malacomg'}",27M views,11 years ago,"Lyrics: This morning when I rose, yeah I didn't have no doubt This morning when I rose, yeah I didn't have no doubt This morning ...",True,
236,Woman's Son Cant Stop Growing At Night,https://www.youtube.com/watch?v=uCdDZtKYdFo,"{'channel_name': 'LaurenzSide', 'channel_link': 'https://www.youtube.com/c/LaurenzSide'}",5.4M views,10 months ago,Reacting to Her Son Can't Stop Growing at Night... the CREEPIEST & weirdest video I've seen in a long time. It's basically a ...,True,
237,Star Trek Writer Live!!!!,https://www.youtube.com/watch?v=E3V4JzcL7Pc,"{'channel_name': 'Mr. Sci-Fi', 'channel_link': 'https://www.youtube.com/c/MrSciFi'}",615 views,Streamed 3 days ago,7:42 ... like we flew virgin and we i really liked virginia that's great airlines very good airline uh there was no mask on the british side but ...,,New
238,The Rude Behavior of New York Commuters,https://www.youtube.com/watch?v=rm8ozTRSI9w,"{'channel_name': 'Inside Edition', 'channel_link': 'https://www.youtube.com/c/InsideEdition'}",15M views,3 years ago,Most people shave their legs in the bathroom but Inside Edition found one person who chose to do it on the train while on the way ...,True,
239,HOW to Paint SKIN Miniatures | Stippling Decaying Skin & Worn Cloth,https://www.youtube.com/watch?v=acGhOfKSTBE,"{'channel_name': 'Don Suratos - minis & gunpla', 'channel_link': 'https://www.youtube.com/c/DonSuratos'}",4K views,7 days ago,,,
